initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
0.2,0.6,moderate,19,0.18024919764976105,0.19772231210966695,0.06201444718230469,0.0,0.12535299693397248,0.8767,0.0006,1.3079223788379175
0.2,0.6,moderate,20,0.21196899153734464,0.2475649047953785,0.09191618153319375,0.0,0.1255413467362274,0.8708,0.00065,1.3462260151365089
0.2,0.8,moderate,1,0.19655075536193398,0.21409274452181543,0.07112687793148734,0.0,0.12571931464760525,0.8691,0.0005,1.3458680045154667
0.2,0.8,moderate,2,0.19304401538199215,0.2222809038085952,0.07064984555864087,0.0,0.1258175048572619,0.8654,0.00055,1.519039302688111
0.2,0.8,moderate,3,0.19759536786357018,0.21648659299633735,0.06989772183367833,0.0,0.12564691888201276,0.8631,0.0009,1.4102468442209541
0.2,0.8,moderate,4,0.18759236948078828,0.22121989411809076,0.07626958527232293,0.0,0.12572899217561045,0.86595,0.00065,1.3247840630866314
0.2,0.8,moderate,5,0.1967128940571522,0.22594147536829554,0.07053041698090867,0.0,0.12632327736174104,0.85435,0.00045,1.4904034383367963
0.2,0.8,moderate,6,0.19169512737450414,0.2121212613085044,0.07082470575305189,0.0,0.12563617540271907,0.8674,0.0007,1.3131072107677508
0.2,0.8,moderate,7,0.1969437852998948,0.23443422807276473,0.08145143561584484,0.0,0.1252069888770101,0.8794,0.00065,1.4174167129176223
0.2,0.8,moderate,8,0.20214024452707796,0.23205201072540604,0.0800099274428327,0.0,0.12550999157627016,0.8716,0.00065,1.4298768044615873
0.2,0.8,moderate,9,0.1878612665995375,0.20490273675734588,0.06867136797553906,0.0,0.1257411278358224,0.8687,0.0005,1.2533459986983928
